"幣別","按美元計算/ 貿易總值","按美元計算/ 出口總值","按美元計算/ 進口總值","按美元計算/ 出(入)超"
"107年 6月",50991.93,28110.115,22881.815,5228.3
"107年 7月",54157.384,28217.572,25939.812,2277.76
"107年 8月",51576.122,28021.801,23554.321,4467.48
"107年 9月",54581.262,29467.165,25114.097,4353.068
"107年 10月",55522.269,29424.037,26098.232,3325.805
"107年 11月",50659.401,27681.837,22977.564,4704.273
"107年 12月",52063.818,28367.469,23696.349,4671.12
"108年",614808.77,329157.32,285651.45,43505.87
"108年 1月",53340.388,27115.105,26225.283,889.822
"108年 2月",35564.596,20317.385,15247.211,5070.174
"108年 3月",53814.195,28449.497,25364.698,3084.799
"108年 4月",48408.259,25559.377,22848.882,2710.495
"108年 5月",50629.898,27548.92,23080.978,4467.942
"108年 6月",52593.948,28210.4,24383.548,3826.852
"108年 7月",52597.13,28094.139,24502.991,3591.148
"108年 8月",51536.367,28776.413,22759.954,6016.459
"108年 9月",53016.843,28084.066,24932.777,3151.289
"108年 10月",53996.01,28973.652,25022.358,3951.294
"108年 11月",52838.113,28554.232,24283.881,4270.351
"108年 12月",56473.023,29474.134,26998.889,2475.245
"109年",631273.587,345125.944,286147.643,58978.301
"109年 1月",46667.105,25045.852,21621.253,3424.599
"109年 2月",47380.093,25339.624,22040.469,3299.155
"109年 3月",53640.377,28237.554,25402.823,2834.731
"109年 4月",47997.751,25217.32,22780.431,2436.889
"109年 5月",49197.02,26998.41,22198.61,4799.8
"109年 6月",49260.164,27121.759,22138.405,4983.354
"109年 7月",50922.06,28163.017,22759.043,5403.974
"109年 8月",55842.614,31158.476,24684.138,6474.338
"109年 9月",54353.189,30702.877,23650.312,7052.565
"109年 10月",57005.403,32215.149,24790.254,7424.895
"109年 11月",58731.384,31935.76,26795.624,5140.136
"109年 12月",60276.427,32990.146,27286.281,5703.865
"110年",828328.73,446371.191,381957.539,64413.652
"110年 1月",62434.506,34264.483,28170.023,6094.46
"110年 2月",51177.92,27790.942,23386.978,4403.964
"110年 3月",68176.541,35872.429,32304.112,3568.317
"110年 4月",63751.741,34900.871,28850.87,6050.001
"110年 5月",68731.771,37403.878,31327.893,6075.985
"110年 6月",68202.693,36647.945,31554.748,5093.197
"110年 7月",70041.205,37951.387,32089.818,5861.569
"110年 8月",75637.161,39540.529,36096.632,3443.897
"110年 9月",72928.507,39627.88,33300.627,6327.253
"110年 10月",74259.517,40117.188,34142.329,5974.859
"110年 11月",77367.031,41569.121,35797.91,5771.211
"110年 12月",75620.137,40684.538,34935.599,5748.939
"111年",907451.354,479441.773,428009.581,51432.192
"111年 1月",75026.166,39980.98,35045.186,4935.794
"111年 2月",69127.798,37453.062,31674.736,5778.326
"111年 3月",82258.935,43494.015,38764.92,4729.095
"111年 4月",78113.295,41460.371,36652.924,4807.447
"111年 5月",81967.544,42043.818,39923.726,2120.092
"111年 6月",79798.725,42183.592,37615.133,4568.459
"111年 7月",81453.986,43226.635,38227.351,4999.284
"111年 8月",77604.496,40299.897,37304.599,2995.298
"111年 9月",69935.919,37517.635,32418.284,5099.351
"111年 10月",76863.273,39918.97,36944.303,2974.667
"111年 11月",68614.139,36116.72,32497.419,3619.301
"111年 12月",66687.078,35746.078,30941,4805.078
"112年 (1~7月)",446695.134,240813.585,205881.549,34932.036
"112年 1月",60664.918,31503.6,29161.318,2342.282
"112年 2月",59726.05,31040.194,28685.856,2354.338
"112年 3月",66149.446,35179.421,30970.025,4209.396
"112年 4月",65160.313,35935.72,29224.593,6711.127
"112年 5月",67340.282,36104.634,31235.648,4868.986
"112年 6月",58671.201,32319.198,26352.003,5967.195
"112年 7月",68982.924,38730.818,30252.106,8478.712

