Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,8222.419922,8395.389648,7481.899902,7640.439941,7640.411133,105426800
2010-02-01,7653.890137,7661.700195,7173.180176,7436.100098,7436.072266,43507600
2010-03-01,7492.839844,7994.620117,7451.089844,7920.060059,7920.029785,80218800
2010-04-01,7952.620117,8190.009766,7842.069824,8004.250000,8004.219238,90335200
2010-05-01,7979.799805,8022.450195,7032.399902,7373.979980,7373.952148,72737400
2010-06-01,7327.009766,7645.709961,7048.600098,7329.370117,7329.342285,62387800
2010-07-01,7326.890137,7807.069824,7251.600098,7760.629883,7760.601074,83998400
2010-08-01,7829.189941,8054.290039,7577.100098,7616.279785,7616.250977,104368400
2010-09-01,7643.609863,8286.929688,7625.720215,8237.780273,8237.748047,93925800
2010-10-01,8259.080078,8386.290039,7992.810059,8287.089844,8287.057617,83728400
2010-11-01,8343.519531,8473.660156,8226.709961,8372.480469,8372.448242,60162400
2010-12-01,8430.599609,8990.379883,8428.639648,8972.500000,8972.466797,86739800
2011-01-01,9039.629883,9154.929688,8738.929688,9145.349609,9145.315430,74939800
2011-02-01,9220.690430,9220.690430,8470.089844,8599.650391,8599.618164,47511600
2011-03-01,8611.790039,8829.230469,8070.520020,8683.299805,8683.267578,63751400
2011-04-01,8697.839844,9099.750000,8592.230469,9007.870117,9007.836914,50125800
2011-05-01,9014.330078,9082.009766,8673.379883,8988.839844,8988.806641,48941200
2011-06-01,8999.839844,9089.469727,8433.459961,8652.589844,8652.557617,43685800
2011-07-01,8684.389648,8842.169922,8410.440430,8644.179688,8644.147461,53545000
2011-08-01,8629.969727,8707.870117,7148.759766,7741.359863,7741.331055,71594000
2011-09-01,7799.180176,7886.040039,6877.120117,7225.379883,7225.352539,52829200
2011-10-01,7128.660156,7743.370117,6889.990234,7587.689941,7587.661133,43257400
2011-11-01,7547.240234,7683.089844,6744.259766,6904.120117,6904.094238,49550600
2011-12-01,7132.410156,7199.259766,6609.109863,7072.080078,7072.054199,40925800
2012-01-01,7005.390137,7517.080078,7005.390137,7517.080078,7517.051758,35503800
2012-02-01,7520.359863,8121.439941,7488.970215,8121.439941,8121.409180,69098800
2012-03-01,8127.569824,8170.720215,7775.750000,7933.000000,7932.969727,55135600
2012-04-01,7905.879883,7928.430176,7422.140137,7501.720215,7501.692383,35760200
2012-05-01,7511.759766,7704.870117,7047.319824,7301.500000,7301.472168,38591200
2012-06-01,7213.689941,7334.629883,6857.350098,7296.279785,7296.251953,32466800
2012-07-01,7332.089844,7442.549805,6922.729980,7270.490234,7270.462402,35296800
2012-08-01,7242.580078,7536.319824,7186.779785,7397.060059,7397.032227,41193600
2012-09-01,7430.399902,7789.390137,7313.560059,7715.160156,7715.131348,45937400
2012-10-01,7702.120117,7727.529785,7091.189941,7166.049805,7166.022949,35335800
2012-11-01,7141.970215,7590.689941,7050.049805,7580.169922,7580.141113,38003200
2012-12-01,7582.649902,7757.089844,7491.520020,7699.500000,7699.471191,45782600
2013-01-01,7738.049805,7855.160156,7603.270020,7850.020020,7849.990723,48848600
2013-02-01,7853.750000,8029.100098,7832.000000,7897.979980,7897.949707,27794000
2013-03-01,7917.720215,8089.209961,7786.560059,7918.609863,7918.579590,44598400
2013-04-01,7934.250000,8115.589844,7688.620117,8093.660156,8093.629395,38215400
2013-05-01,8111.430176,8439.150391,8095.700195,8254.799805,8254.767578,53390200
2013-06-01,8177.970215,8250.169922,7663.229980,8062.209961,8062.179199,41390800
2013-07-01,8011.950195,8265.700195,7877.060059,8107.939941,8107.909180,49209100
2013-08-01,8110.729980,8162.910156,7737.330078,8021.890137,8021.859375,41074000
2013-09-01,8010.149902,8310.940430,7993.129883,8173.870117,8173.839355,39580500
2013-10-01,8173.990234,8469.580078,8172.790039,8450.059570,8450.027344,49354900
2013-11-01,8474.469727,8476.629883,8093.819824,8406.830078,8406.797852,42845200
2013-12-01,8429.240234,8647.240234,8313.870117,8611.509766,8611.477539,42241100
2014-01-01,8618.599609,8668.950195,8442.190430,8462.570313,8462.538086,46511800
2014-02-01,8290.169922,8647.900391,8230.459961,8639.580078,8639.547852,39826500
2014-03-01,8627.150391,8849.280273,8508.009766,8849.280273,8849.248047,49636400
2014-04-01,8847.339844,9022.280273,8671.650391,8791.440430,8791.408203,48580800
2014-05-01,8846.860352,9139.570313,8803.429688,9075.910156,9075.875977,45539700
2014-06-01,9106.610352,9393.070313,9070.450195,9393.070313,9393.036133,49515600
2014-07-01,9393.070313,9593.679688,9313.870117,9315.849609,9315.815430,64922900
2014-08-01,9223.750000,9502.419922,9014.889648,9436.269531,9436.235352,46387500
2014-09-01,9474.410156,9532.660156,8860.169922,8966.919922,8966.886719,37874300
2014-10-01,8958.870117,9122.540039,8501.290039,8974.759766,8974.726563,40957900
2014-11-01,9009.379883,9217.730469,8828.150391,9187.150391,9187.116211,34399700
2014-12-01,9038.410156,9338.059570,8826.030273,9307.259766,9307.225586,46405900
2015-01-01,9292.309570,9523.730469,9043.440430,9361.910156,9361.875977,44435400
2015-02-01,9368.830078,9699.540039,9352.190430,9622.099609,9622.063477,23281700
2015-03-01,9665.110352,9775.629883,9472.540039,9586.440430,9586.404297,45858400
2015-04-01,9575.110352,10014.280273,9503.530273,9820.049805,9820.012695,47646800
2015-05-01,9853.509766,9871.650391,9536.160156,9701.070313,9701.033203,44291000
2015-06-01,9688.129883,9692.339844,9170.089844,9323.019531,9322.985352,43175800
2015-07-01,9311.759766,9404.759766,8516.230469,8665.339844,8665.307617,42910000
2015-08-01,8636.530273,8636.530273,7203.069824,8174.919922,8174.889160,47635800
2015-09-01,8117.500000,8488.530273,7907.310059,8181.240234,8181.209473,40057500
2015-10-01,8194.299805,8757.139648,8170.779785,8554.309570,8554.277344,40967100
2015-11-01,8571.530273,8871.870117,8217.339844,8320.610352,8320.578125,39049800
2015-12-01,8359.269531,8535.360352,7980.589844,8338.059570,8338.027344,41102000
2016-01-01,8315.790039,8326.330078,7627.890137,8080.600098,8080.569336,37346200
2016-02-01,8164.240234,8432.740234,7953.990234,8411.160156,8411.127930,24288500
